Mod,Category,Status,Server_Status,Client_Package,Files,Last_Tested,URL,Notes
"Valhelsia Furniture","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/valhelsia-furniture/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Valhelsia Structures","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/valhelsia-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Villages&Pillages,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/villages-and-pillages/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Waifucraft,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/waifucraft/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Water Balloon","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/water-balloon/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Waystone Towers","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/waystone-towers/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
WealthyAndGrowth,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/wealthyandgrowth/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Whisperer's Jungle Temple","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/whisperers-jungle-temple/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Womp's Shellfish Mod","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/womps-shellfish-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"YDM's Allay","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ydms-allay/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"YDM's Red Panda","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ydms-red-panda/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"YDM's Scorpions","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ydms-scorpions/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Yeehaw Towns!","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/yeehaw-towns/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"YUNG's API","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/yungs-api/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"YUNG's Better Dungeons","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"YUNG's Better Mineshafts","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/yungs-better-mineshafts-forge/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"YUNG's Better Strongholds","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/yungs-better-strongholds/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Zombie Variants - 15 New Zombies!","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/zombie-variants/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Additional Lights","World Mods",ok,OK,Included,additional_lights-neoforge-26.1.2-3.1.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/additional-lights/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row45_additional_lights passed: STATUS=started, ERROR_LINES=0."
"Advanced Chimneys","World Mods",ok,OK,Included,adchimneys-26.1.0.0-neoforge-26.1.2-build.0046.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/advanced-chimneys/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Installed with ForgeEndertech dependency. Boot test row47_advanced_chimneys reached Done and stopped cleanly; WARN-level optional compat ClassNotFoundException lines were for absent optional mods, not startup failure."
"AI Improvements","Server Optimizer",ok,OK,Included,AI-Improvements-26.1.1-0.5.4.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ai-improvements/files/7878374,"No exact 26.1.2 file found; stable 26.1.1 NeoForge file passed on 26.1.2. Requested again 2026-06-03; already active and in client package, no duplicate row added."
"Alternate Current","Server Optimizer",ok,OK,Included,alternate_current-mc26.1-1.9.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/alternate-current/files/7872068,"Boot test row33_alternate_current passed: STATUS=started, ERROR_LINES=0."
"Ambient Environment","World Mods",ok,OK,Included,AmbientEnvironment-neoforge-26.1.2-26.1.2.1.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ambient-environment/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row48_ambient_environment reached Done and stopped cleanly. CurseForge marks the file as release; the mod's own update checker reported BETA for the same current version, so this is noted for review."
"Aquaculture 2","Test New Mods",ok,OK,Included,Aquaculture-26.1.1-2.9.1.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/aquaculture,"Added 2026-06-03. Boot test 20260603_requested_mods_aquaculture reached Done; final_all_accepted passed with this jar active."
Artifacts,"Test New Mods",ok,OK,Included,artifacts-neoforge-15.0.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/artifacts,"Added 2026-06-03 after verifying CurseForge file page. Boot test 20260603_requested_mods_artifacts reached Done; final_all_accepted passed with this jar active."
"Bagus Lib","World Mods",ok,OK,Included,bagus_lib-26.1.2-26.2.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/bagus-lib/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row52_bagus_lib reached Done and stopped cleanly. WARN-level optional Advanced Chimneys compatibility class checks are carried from row47 and not fatal."
"Biomes O' Plenty","World Mods",ok,OK,Included,BiomesOPlenty-neoforge-26.1.2-26.1.2.0.13.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/biomes-o-plenty/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Accepted under relaxed beta dependency policy and already active. Requested again 2026-06-03; latest compatible file already installed, no duplicate row added."
"Buried Wrecks","World Mods",ok,OK,Included,BuriedWrecks-26.1.2-13.0.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/buriedwrecks/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Accepted under relaxed beta policy. Boot test row56_buriedwrecks_relaxed reached Done with only baseline optional Advanced Chimneys mixin warnings; included in Mac client package."
"Bushy Crops","World Mods",ok,"Client-only: included",Included,bushy-crops-2.0.zip,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/bushy-crops/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
CherryVillage,"World Mods",ok,OK,Included,cherry_village-1.0.0-26.1-NeoForge.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/cherryvillage/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Stable 26.1 NeoForge file is tagged compatible with 26.1.2. Boot test row59_cherryvillage reached Done and stopped cleanly; existing Advanced Chimneys optional WARN class checks are non-fatal."
"Cinch's Abandoned Houses","World Mods",ok,OK,"Not required (server-only)",cinchsabandonedhouses[NeoForge-1.21.x-26.1.x]-2.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/cinchs-abandoned-houses/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row60_cinchs_abandoned_houses reached Done and stopped cleanly. CurseForge file metadata includes Server but not Client, so not copied to client package."
"Cinch's Villager Statues","World Mods",ok,OK,"Not required (server-only)",cinchsvillagerstatues-[NeoForge-1.21.x-26.1.x]-3.5.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/cinchs-villager-statues/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row61_cinchs_villager_statues reached Done and stopped cleanly. CurseForge file metadata includes Server but not Client, so not copied to client package."
"Clean Swing Through Grass","Requested 2026-06-03",ok,OK,Included,cleanswing-1.9-26.1.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/clean-swing-through-grass,"Final active-set boot test 20260603_next_final_active_set reached Done; filtered error count 0. Only known optional tintedcampfires/sootychimneys warnings remain."
"Cloth Config API","World Mods",ok,OK,Included,cloth-config-26.1.154.jar,2026-06-03,https://modrinth.com/mod/cloth-config/changelog?l=neoforge,"Boot test row62_cloth_config reached Done and stopped cleanly; copied to client package."
Connectivity,"Server Optimizer",ok,OK,Included,connectivity-26.1-7.6.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/connectivity/files/7866655,"Initial test failed missing Cupboard. After installing Cupboard row31, retest row31_cupboard_with_connectivity_retest passed ERROR_LINES=0."
"Cooking for Blockheads","Test New Mods",ok,OK,Included,cookingforblockheads-neoforge-26.1.2-26.1.2.2.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/cooking-for-blockheads,"Added 2026-06-03. Boot test 20260603_requested_mods_cooking_for_blockheads reached Done; final_all_accepted passed with this jar active."
"Critter Armory","World Mods",ok,OK,Included,critterarmory-26.1.2-0.6.5-neoforge.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/critter-armory/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row63_critter_armory reached Done and stopped cleanly; copied to client package."
Croptopia,"Test New Mods",ok,OK,Included,"croptopia-neoforge-26.1.2-4.3.1.jar + epherolib-neoforge-26.1-1.3.0.jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/croptopia/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row116_croptopia reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied both jars to client package. Requested again in 2026-06-03 next batch; already active and current compatible candidate confirmed, no reinstall needed."
Cupboard,"Server Optimizer",ok,OK,Included,cupboard-26.1-3.7.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/cupboard/files/7904113,"Installed early because Connectivity requires Cupboard >=3.1. Combined boot test passed ERROR_LINES=0."
"Custom fences and walls","World Mods",ok,OK,Included,customfence-26-1.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/customfence/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row64_custom_fences reached Done and stopped cleanly; first run corrected/generated customfence-common.toml."
"Da Bomb","World Mods",ok,OK,Included,DaBomb-26.1.2-0.8.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/da-bomb/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Accepted under relaxed beta policy. Boot test row65_dabomb_relaxed reached Done after correcting the CurseForge CDN URL to /7936/784/; included in Mac client package."
"Display Case","World Mods",ok,OK,Included,display_case-neoforge-26.1-1.4.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/displaycase/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Stable 26.1 NeoForge file is tagged compatible with 26.1.2. Boot test row66_display_case reached Done and stopped cleanly; copied to client package."
"DnT Desert Temple Overhaul","World Mods",ok,OK,"Not required (server-only)","DnT-desert-temple-overhaul-v2.1 [NeoForge].jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dnt-desert-temple-overhaul/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row67_dnt_desert_temple reached Done and stopped cleanly. CurseForge file metadata includes Server but not Client, so not copied to client package."
"DnT Stronghold Overhaul","Test New Mods",ok,OK,"Not required (server-only)","DnT-stronghold-overhaul-v2.4.0 [NeoForge].jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dnt-stronghold-overhaul/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row119_dnt_stronghold reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. File is tagged Server-only, so not copied to client package."
"Double Doors","Requested 2026-06-03",ok,OK,Included,doubledoors-26.1.2-7.2.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/double-doors,"Collective dependency was already active. Final active-set boot test 20260603_next_final_active_set reached Done; filtered error count 0. Only known optional tintedcampfires/sootychimneys warnings remain."
"Dramatic Skys","Core Game Mods",ok,"Client-only: included",Included,"Dramatic Skys Demo 1.5.3.36.4.zip",2026-06-03,https://www.curseforge.com/minecraft/texture-packs/dramatic-skys/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server. Stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
"Dungeon Crawl","Test New Mods",ok,OK,Included,DungeonCrawl-NeoForge-26.1-2.3.17.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dungeon-crawl,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later. Recovered by selecting the mc-mods project instead of the same-slug modpack; beta accepted under relaxed policy. Final active-set boot test 20260603_next_final_active_set reached Done; filtered error count 0. Only known optional tintedcampfires/sootychimneys warnings remain."
"Dungeons and Taverns","Test New Mods",ok,OK,"Not required (server-only)","dungeons-and-taverns-5.2.0 [NeoForge].jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dungeon-and-taverns/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row123_dungeons_and_taverns reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. File is tagged Server-only, so not copied to client package."
"Dynamic Trees","Test New Mods",ok,OK,Included,dynamictrees-neoforge-26.1.2-1.8.0-BETA01.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dynamictrees/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Accepted under relaxed beta policy. Boot test row125_dynamictrees_relaxed reached Done with only baseline optional Advanced Chimneys mixin warnings; included in Mac client package. Requested again in 2026-06-03 next batch; already active and current compatible candidate confirmed, no reinstall needed."
"Dynamic View","Server Optimizer",ok,OK,Included,dynamicviewdist-26.1-4.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dynamic-view/files/8021515,"Boot test row29_dynamic_view passed: STATUS=started, ERROR_LINES=0."
"Elytra Physics","Test New Mods",ok,"Client-only: included",Included,elytra_physics-neoforge-2.6_mc26.1.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/elytra-physics/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Client-only NeoForge mod, not installed on the server. Strict loader check selected the NeoForge jar, not the Fabric file, and copied it to client-package/mods."
"EMF - Entity Model Features","World Mods",ok,"Client-only: included",Included,entity_model_features-3.2.4-26.1-neoforge.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/entity-model-features/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Client-only NeoForge mod/API, not installed on the server. Latest stable 26.1.x-compatible NeoForge jar was copied to client-package/mods."
"Enchantment Descriptions","Test New Mods",ok,"Client-only: included",Included,EnchantmentDescriptions-neoforge-MC26.1.2-26.1.2.2.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions,"Added 2026-06-03. CurseForge file tagged Client; installed in Mac client package only. PrickleMC-neoforge-MC26.1.2-26.1.2.3.jar included as required dependency."
"ETF - Entity Texture Features","World Mods",ok,"Client-only: included",Included,entity_texture_features_26.1-neoforge-7.1.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/entity-texture-features-fabric/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Client-only NeoForge mod/API, not installed on the server. Strict loader check selected the NeoForge jar, not the Fabric file, and copied it to client-package/mods."
"Explorify - Dungeons & Structures","World Mods",ok,OK,Included,"Explorify v1.6.5.mod.jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/explorify,"CurseForge API returned no stable NeoForge/datapack files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later. Recovered by selecting the mc-mods project instead of the same-slug modpack. Final active-set boot test 20260603_next_final_active_set reached Done; filtered error count 0. Only known optional tintedcampfires/sootychimneys warnings remain."
FallingTree,"World Mods",ok,OK,Included,FallingTree-26.1.2-25-codexfix.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/falling-tree/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Original jar logged a missing META-INF/neoforge.accesstransformer.cfg error. A local copy was patched by adding the declared empty file; boot test row73_fallingtree_patched reached Done with only baseline optional warnings. Included in client package because mod side is BOTH. Requested again in 2026-06-03 next batch; already active and current compatible candidate confirmed, no reinstall needed."
"Fancy Beds","World Mods",ok,"Client-only: included",Included,Fancy_Beds-v4.1.zip,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/fancy-beds/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
"Farm 3D","World Mods",ok,"Client-only: included",Included,"Farm 3D.zip",2026-06-03,https://www.curseforge.com/minecraft/texture-packs/farm-3d/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
FerriteCore,"Server Optimizer",ok,OK,Included,ferritecore-9.0.0-neoforge.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ferritecore/files/7806039,"Boot test row25_ferritecore passed previously. Requested again 2026-06-03; already active and in client package, no duplicate row added."
"Fish of Thieves","World Mods",ok,OK,Included,fish_of_thieves-mc26.1.2-v26.1.2.0-neoforge.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/fish-of-thieves/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row76_fish_of_thieves reached Done and stopped cleanly; jar is tagged NeoForge 26.1.2 and was copied to the client package."
ForgeEndertech,"World Mods",ok,OK,Included,forgeendertech-26.1.0.0-neoforge-26.1.2-build.0046.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/forgeendertech/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Dependency for Advanced Chimneys. Stable Client/Server NeoForge 26.1.2 jar is installed and copied to the client package; validated by subsequent cumulative boot tests."
Framework,"World Mods",ok,OK,Included,framework-neoforge-26.1.2-0.13.23.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/framework/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row80_framework reached Done and stopped cleanly; copied API jar to client package."
Furnicraft,"World Mods",ok,OK,"Not required (server datapack)",furnicraft-26.1.zip,2026-06-03,https://modrinth.com/datapack/ketkets-furnicraft/changelog?l=neoforge,"Stored in server-datapacks and copied to world/datapacks. Boot test row82_furnicraft_datapack detected file/furnicraft-26.1.zip and reached Done cleanly."
GeckoLib,"World Mods",ok,OK,Included,geckolib-neoforge-26.1.2-5.5.1.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/geckolib/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row83_geckolib reached Done and stopped cleanly; copied to client package."
"Genshin Villager","World Mods",ok,"Client-only: included",Included,"Genshin Villagers (No Noise).zip",2026-06-03,https://www.curseforge.com/minecraft/texture-packs/genshin-villager/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
Geophilic,"Requested 2026-06-03",ok,OK,Included,"Geophilic v3.5.mod.jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/geophilic,"Used mc-mods project, not datapack project with same slug. Final active-set boot test 20260603_next_final_active_set reached Done; filtered error count 0. Only known optional tintedcampfires/sootychimneys warnings remain."
GlitchCore,"World Mods",ok,OK,Included,GlitchCore-neoforge-26.1.2-26.1.2.0.2.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/glitchcore/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Accepted as beta dependency under relaxed policy. Boot test row85_glitchcore_relaxed reached Done with only baseline optional Advanced Chimneys mixin warnings; included in Mac client package."
"Goblin Traders","Requested 2026-06-03",ok,OK,Included,goblintraders-neoforge-26.1.2-1.12.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/goblin-traders,"Framework dependency was already active. Final active-set boot test 20260603_next_final_active_set reached Done; filtered error count 0. Only known optional tintedcampfires/sootychimneys warnings remain."
"Golden Apple Tree","Test New Mods",ok,OK,Included,Golden_Apple_Tree-1.2.6-26.1.2-NeoForge.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/golden-apple-tree/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row137_golden_apple_tree reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied to client package."
"Guard Villagers","Test New Mods",ok,OK,Included,guardvillagers-3.0.2-26.1.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/guard-villagers/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row139_guard_villagers reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. CurseForge marks file stable and 26.1.2-compatible, though the mod update checker reports BETA. Copied to client package. Requested again in 2026-06-03 next batch; already active and current compatible candidate confirmed, no reinstall needed."
"Guns ++","Test New Mods",ok,OK,Included,guns++-5.9.5.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/guns-plusplus/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Stable 26.1 NeoForge file tested successfully on 26.1.2. Boot test row140_guns_pp reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Mod update checker reports BETA, but CurseForge file is stable. Copied to client package."
"Hopo Better Underwater Ruins","Test New Mods",ok,OK,"Not required (server-only)",HopoBetterUnderwaterRuins-[26.1]-1.2.7.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/hopo-better-underwater-ruins/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Stable 26.1 Server-only NeoForge file tested successfully on 26.1.2. Boot test row144_hopo_underwater_ruins reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines."
"Human Era: Vanilla Military X Fresh Animations","Test New Mods",ok,"Client-only: included",Included,HumanEraVanillaMilitary[4.6].zip,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/human-era-vanilla-military/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
"Human Era: Villagers & Illagers X Fresh Animations","Test New Mods",ok,"Client-only: included",Included,HumanEraVillagersIllagers[3.91.2].zip,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/human-era-villagers-illagers/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
"Hunter'sReturn","Test New Mods",ok,OK,Included,hunters_return-26.1.2-31.1.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/huntersreturn/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row147_hunters_return reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied to client package."
"Illager Warship","Test New Mods",ok,OK,Included,"illagerwarship-1.0.0 Neoforge 26.1.2.jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/illager-warship/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row149_illager_warship reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Jar metadata lacks server-only display policy and declares BOTH-side dependencies, so copied to client package."
"Infinite Trading","Test New Mods",ok,OK,Included,"infinitetrading-26.1.2-5.0.jar + collective-26.1.2-8.22.jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/infinite-trading/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row154_infinite_trading reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Metadata declares BOTH-side dependencies and no server-only display policy, so both jars copied to client package."
